action_id,document_path,confidence,review_state,matched_terms
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/1TR2026/SUMINISTROS/INV345039957_A23333533_03092026.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/1TR2026/SUMINISTROS/Factura_FMPVAAJ001XXXX.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/1TR2026/SUMINISTROS/factura monitor.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/1TR2026/SUMINISTROS/INV341096775.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/1TR2026/SUMINISTROS/Factura_FMPVACJ007XXXX.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/1TR2026/SUMINISTROS/Factura_FMPVABJ005XXXX.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/1TR2026/SUMINISTROS/Factura_MMPVACJ002XXXX.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/1TR2026/SUMINISTROS/INV341096775_A23333533_02092026.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/2TR2026/MKT/04_Zeena_reporting_enGira.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/2TR2026/MKT/03_Zeena_MKT_engira.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/2TR2026/INVESTIGACION/07_26_ACaboalles_ArticulonGira.pdf,0.78,automatico,contabilidad
ACC-GESTORIA-6F82F39FEF,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/2TR2026/GESTORÍA/2601187 maría j moral morgado.pdf,1.0,automatico,gestoria
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/2TR2026/TELEFONO/FACTURA_FMPVADJ0062265_25-04-2026.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/2TR2026/TELEFONO/Factura_MMPVAEJ001XXXX.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/2TR2026/TELEFONO/Factura_FMPVAEJ003XXXX.pdf,0.78,automatico,contabilidad
