id,nombre_archivo,documento_ruta,estado_revision,requiere_ocr,campos_sin_extraer,campos_a_revisar
GAS-9B42FE97BCE9,Factura pccomponentes TV.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/3TR2025/COMERCIALIZACIÓN/MERCARTES/PRODUCCIÓN/Factura pccomponentes TV.pdf,pendiente_revision,no,emisor,concepto|fecha_emision|numero_factura|total
GAS-E32CFF672830,Factura No. 2025 E 000629 - enGira.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/3TR2025/COMERCIALIZACIÓN/MERCARTES/PRODUCCIÓN/Factura No. 2025 E 000629 - enGira.pdf,requiere_ocr,sí,emisor|numero_factura|fecha_emision|base_imponible|total|concepto,
GAS-91A7D3611DC7,Factura_Mercartes_2025_C752426 (1).pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/3TR2025/COMERCIALIZACIÓN/MERCARTES/DIETAS/Factura_Mercartes_2025_C752426 (1).pdf,pendiente_revision,no,emisor|fecha_emision|base_imponible,
GAS-F35C5CF53032,Factura_Mercartes_2025_C752426 (2).pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/3TR2025/COMERCIALIZACIÓN/MERCARTES/DIETAS/Factura_Mercartes_2025_C752426 (2).pdf,pendiente_revision,no,emisor|fecha_emision|base_imponible,
GAS-501E19D4CB37,Factura_Mercartes_2025_C752426 (5).pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/3TR2025/COMERCIALIZACIÓN/MERCARTES/DIETAS/Factura_Mercartes_2025_C752426 (5).pdf,pendiente_revision,no,emisor|fecha_emision|base_imponible,
GAS-494E392F3BE6,Factura_202512_02.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/4TR2025/FORMACION/Factura_202512_02.pdf,pendiente_revision,no,emisor,fecha_emision|numero_factura|receptor|total
GAS-31F2B4CB061F,Factura_202512_02.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/4TR2025/MANTENIMIENTO TÉCNICO/Factura_202512_02.pdf,pendiente_revision,no,emisor,fecha_emision|numero_factura|receptor|total
GAS-138C784F9172,finiq. darlene 241125.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/4TR2025/NOMINAS/finiq. darlene 241125.pdf,pendiente_revision,no,emisor|numero_factura|fecha_emision|base_imponible|total,
GAS-A72EF39D1662,finiq. maria jose 311025.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/4TR2025/NOMINAS/finiq. maria jose 311025.pdf,pendiente_revision,no,emisor|numero_factura|fecha_emision|base_imponible|total,
GAS-29A64FF05C7A,cos maria moral09-1025.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/4TR2025/NOMINAS/cos maria moral09-1025.pdf,pendiente_revision,no,emisor|numero_factura|fecha_emision|base_imponible|concepto,total
