Ruta Relativa,Nombre Archivo,Extensión,Tamaño (bytes),Categoría,Fecha Modificación,Ruta Absoluta
08_JUSTIFICACION_ECONOMICA/liquidaci-n-de-dietas-y-gastos-de-viaje.docx,liquidaci-n-de-dietas-y-gastos-de-viaje.docx,.docx,41695,documento,2026-07-24T13:05:01.087966,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/08_JUSTIFICACION_ECONOMICA/liquidaci-n-de-dietas-y-gastos-de-viaje.docx
08_JUSTIFICACION_ECONOMICA/memoria-econ-mica--aut-nomos-.xlsx,memoria-econ-mica--aut-nomos-.xlsx,.xlsx,25043,hoja_calculo,2026-07-24T13:04:55.080369,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/08_JUSTIFICACION_ECONOMICA/memoria-econ-mica--aut-nomos-.xlsx
09_DESVIACIONES_Y_CAMBIOS/.DS_Store,.DS_Store,,6148,otro,2026-07-25T13:59:02.270392,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/09_DESVIACIONES_Y_CAMBIOS/.DS_Store
09_DESVIACIONES_Y_CAMBIOS/Autorizacion_modificaciones_sustanciales.pdf,Autorizacion_modificaciones_sustanciales.pdf,.pdf,303334,documento,2026-07-25T13:58:20.579761,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/09_DESVIACIONES_Y_CAMBIOS/Autorizacion_modificaciones_sustanciales.pdf
09_DESVIACIONES_Y_CAMBIOS/Cronograma_modificaciones_sustanciales_signed.pdf,Cronograma_modificaciones_sustanciales_signed.pdf,.pdf,149215,documento,2026-05-28T10:38:23.228223,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/09_DESVIACIONES_Y_CAMBIOS/Cronograma_modificaciones_sustanciales_signed.pdf
09_DESVIACIONES_Y_CAMBIOS/Solicitud_Modificacion_Sustancial_enGira_signed.pdf,Solicitud_Modificacion_Sustancial_enGira_signed.pdf,.pdf,173159,documento,2026-05-28T10:40:09.161880,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/09_DESVIACIONES_Y_CAMBIOS/Solicitud_Modificacion_Sustancial_enGira_signed.pdf
09_DESVIACIONES_Y_CAMBIOS/presupuesto modificaciones sustanciales_signed.pdf,presupuesto modificaciones sustanciales_signed.pdf,.pdf,155054,documento,2026-05-28T10:39:15.019379,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/09_DESVIACIONES_Y_CAMBIOS/presupuesto modificaciones sustanciales_signed.pdf
10_MEMORIA_FINAL/.DS_Store,.DS_Store,,6148,otro,2026-07-25T13:15:46.199708,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/10_MEMORIA_FINAL/.DS_Store
10_MEMORIA_FINAL/declaraci-n-responsable.docx,declaraci-n-responsable.docx,.docx,49528,documento,2026-07-24T13:04:16.090372,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/10_MEMORIA_FINAL/declaraci-n-responsable.docx
10_MEMORIA_FINAL/memoria-de-actividades.docx,memoria-de-actividades.docx,.docx,43029,documento,2026-07-24T13:04:42.754363,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/10_MEMORIA_FINAL/memoria-de-actividades.docx
